# package|category|required_group|resolution|resolved_name|source|version|architecture|runtime_gate|functional_difference
fcitx5-qt|system-package|conditional|archlinuxarm|fcitx5-qt|extra|snapshot|snapshot|phase5-optional|None
fd|shell-tooling|core|archlinuxarm|fd|extra|snapshot|snapshot|phase5-core|None
ffmpegthumbnailer|desktop-core|conditional|archlinuxarm|ffmpegthumbnailer|extra|snapshot|snapshot|phase5-optional|None
fontconfig|visual-configuration|core|archlinuxarm|fontconfig|extra|snapshot|snapshot|phase5-core|None
foot|desktop-core|core|archlinuxarm|foot|extra|snapshot|snapshot|phase2-hyprland|None
fzf|shell-tooling|core|archlinuxarm|fzf|extra|snapshot|snapshot|phase5-core|None
git|development-tool|core|archlinuxarm|git|extra|snapshot|snapshot|phase5-core|None
gnome-disk-utility|optional-application|optional|archlinuxarm|gnome-disk-utility|extra|snapshot|snapshot|phase5-optional|None
gnome-keyring|system-package|core|archlinuxarm|gnome-keyring|extra|snapshot|snapshot|phase5-core|None
gnome-themes-extra|visual-configuration|core|archlinuxarm|gnome-themes-extra|extra|snapshot|snapshot|phase5-core|None
gpu-screen-recorder|optional-application|optional|archlinuxarm|gpu-screen-recorder|extra|snapshot|snapshot|phase5-optional|None
grim|desktop-core|core|archlinuxarm|grim|extra|snapshot|snapshot|phase5-core|None
gum|shell-tooling|core|archlinuxarm|gum|extra|snapshot|snapshot|phase5-core|None
gvfs-mtp|system-package|conditional|archlinuxarm|gvfs-mtp|extra|snapshot|snapshot|phase5-optional|None
gvfs-nfs|system-package|conditional|archlinuxarm|gvfs-nfs|extra|snapshot|snapshot|phase5-optional|None
gvfs-smb|system-package|conditional|archlinuxarm|gvfs-smb|extra|snapshot|snapshot|phase5-optional|None
herdr|omarchy-specific|optional|source-build|herdr|omarchy-pkgs|pending-build|aarch64|phase5-optional|Not installed until its pinned ARM package builds and its consumer is enabled
hyprland|desktop-core|core|archlinuxarm|hyprland|extra|snapshot|snapshot|phase2-hyprland|None
hyprland-guiutils|desktop-core|core|archlinuxarm|hyprland-guiutils|extra|snapshot|snapshot|phase5-core|None
hyprland-preview-share-picker|desktop-core|deferred|defer|hyprland-preview-share-picker|omarchy-pkgs|unported|x86_64|phase5-optional|Screen-share picker is disabled until the pinned package is ported or a portal-compatible replacement is selected
hyprpicker|desktop-core|core|archlinuxarm|hyprpicker|extra|snapshot|snapshot|phase5-core|None
hyprsunset|desktop-core|core|archlinuxarm|hyprsunset|extra|snapshot|snapshot|phase5-core|None
imagemagick|shell-tooling|core|archlinuxarm|imagemagick|extra|snapshot|snapshot|phase5-core|None
imv|optional-application|optional|archlinuxarm|imv|extra|snapshot|snapshot|phase5-optional|None
inetutils|system-package|core|archlinuxarm|inetutils|core|snapshot|snapshot|phase5-core|None
inotify-tools|shell-tooling|core|archlinuxarm|inotify-tools|extra|snapshot|snapshot|phase5-core|None
inxi|shell-tooling|core|archlinuxarm|inxi|extra|snapshot|snapshot|phase5-core|None
jq|shell-tooling|core|archlinuxarm|jq|extra|snapshot|snapshot|phase5-core|None
kdenlive|optional-application|optional|archlinuxarm|kdenlive|extra|snapshot|snapshot|phase5-optional|None
kernel-modules-hook|update-infrastructure|omit|archlinuxarm|kernel-modules-hook|extra|snapshot|snapshot|not-applicable|Available but omitted because the hardware package owns kernel and module rollback
lazydocker|development-tool|development|archlinuxarm|lazydocker|extra|snapshot|snapshot|phase5-optional|None
lazygit|development-tool|development|archlinuxarm|lazygit|extra|snapshot|snapshot|phase5-optional|None
less|shell-tooling|core|archlinuxarm|less|core|snapshot|snapshot|phase5-core|None
libreoffice-fresh|optional-application|optional|archlinuxarm|libreoffice-fresh|extra|snapshot|snapshot|phase5-optional|None
libsecret|system-package|core|archlinuxarm|libsecret|core|snapshot|snapshot|phase5-core|None
libvips|system-package|conditional|archlinuxarm|libvips|extra|snapshot|snapshot|phase5-optional|None
libyaml|system-package|core|archlinuxarm|libyaml|extra|snapshot|snapshot|phase5-core|None
llvm|development-tool|development|archlinuxarm|llvm|extra|snapshot|snapshot|phase5-optional|None
localsend|optional-application|optional|source-build|localsend|omarchy-pkgs|pending-build|aarch64|phase5-optional|Not installed until bundled binaries and 16 KiB page compatibility pass
lua51|desktop-core|core|archlinuxarm|lua51|extra|snapshot|snapshot|phase5-core|None
luarocks|development-tool|core|archlinuxarm|luarocks|extra|snapshot|snapshot|phase5-core|None
man-db|shell-tooling|core|archlinuxarm|man-db|core|snapshot|snapshot|phase5-core|None
mariadb-libs|development-tool|development|archlinuxarm|mariadb-libs|extra|snapshot|snapshot|phase5-optional|None
mise-bin|development-tool|development|source-build|mise-bin|omarchy-pkgs|pending-build|aarch64|phase5-optional|Development runtime manager is excluded from the core desktop and built off target only when selected
moonlight-qt|optional-application|optional|archlinuxarm|moonlight-qt|extra|snapshot|snapshot|phase5-optional|None
mpv|optional-application|optional|archlinuxarm|mpv|extra|snapshot|snapshot|phase5-optional|None
mpv-mpris|optional-application|optional|archlinuxarm|mpv-mpris|extra|snapshot|snapshot|phase5-optional|None
nautilus|desktop-core|core|archlinuxarm|nautilus|extra|snapshot|snapshot|phase5-core|None
nautilus-python|desktop-core|core|archlinuxarm|nautilus-python|extra|snapshot|snapshot|phase5-core|None
networkmanager|system-package|phase1-owned|archlinuxarm|networkmanager|extra|snapshot|snapshot|phase1-hardware|None
noto-fonts|visual-configuration|core|archlinuxarm|noto-fonts|extra|snapshot|snapshot|phase5-core|None
noto-fonts-cjk|visual-configuration|conditional|archlinuxarm|noto-fonts-cjk|extra|snapshot|snapshot|phase5-optional|None
noto-fonts-emoji|visual-configuration|core|archlinuxarm|noto-fonts-emoji|extra|snapshot|snapshot|phase5-core|None
nss-mdns|system-package|conditional|archlinuxarm|nss-mdns|extra|snapshot|snapshot|phase5-optional|None
nvim|shell-tooling|core|replacement|neovim|extra|snapshot|snapshot|phase5-core|Package name changes to neovim while the installed command remains nvim
obs-studio|optional-application|deferred|defer|obs-studio|upstream|unresolved|unknown|phase5-optional|Recording is disabled until a clean ARM source build and V3D encoding test pass
obsidian|optional-application|deferred|defer|obsidian|upstream|unresolved|unknown|phase5-optional|No exact Arch Linux ARM package exists; any future Electron build must also pass the 16 KiB page runtime test
omacalc|omarchy-specific|core|source-build|omacalc|omarchy-pkgs|pending-build|aarch64|phase5-core|Core calculator remains unavailable until its pinned ARM package builds and passes
omacut|omarchy-specific|core|source-build|omacut|omarchy-pkgs|pending-build|aarch64|phase5-core|Core capture workflow remains unavailable until its pinned ARM package builds and portal integration passes
omarchy-nvim|omarchy-specific|optional|source-build|omarchy-nvim|omarchy-pkgs|pending-build|any|phase5-optional|Optional editor configuration is installed only with the editor group
omawrite|omarchy-specific|optional|source-build|omawrite|omarchy-pkgs|pending-build|aarch64|phase5-optional|Not installed until its pinned ARM package builds and passes runtime checks
pacman-contrib|update-infrastructure|core|archlinuxarm|pacman-contrib|extra|snapshot|snapshot|phase6-update|None
pamixer|desktop-core|core|archlinuxarm|pamixer|extra|snapshot|snapshot|phase5-core|None
pinta|optional-application|deferred|defer|pinta|upstream|unresolved|unknown|phase5-optional|Image editor is disabled until an ARM source package and runtime test exist
plocate|shell-tooling|core|archlinuxarm|plocate|extra|snapshot|snapshot|phase5-core|None
plymouth|visual-configuration|omit|archlinuxarm|plymouth|extra|snapshot|snapshot|not-applicable|Available but omitted because Phase 1 owns the Raspberry Pi boot presentation and initramfs
postgresql-libs|development-tool|development|archlinuxarm|postgresql-libs|extra|snapshot|snapshot|phase5-optional|None
power-profiles-daemon|system-package|deferred|archlinuxarm|power-profiles-daemon|extra|snapshot|snapshot|phase1-hardware|Available but not enabled until CM5 power and thermal behavior is validated
python-gobject|desktop-core|core|archlinuxarm|python-gobject|extra|snapshot|snapshot|phase5-core|None
python-poetry-core|development-tool|development|archlinuxarm|python-poetry-core|extra|snapshot|snapshot|phase5-optional|None
qemu-user-static-binfmt|development-tool|off-target|omit|qemu-user-static-binfmt|build-host|not-installed|build-host|off-target-build|Cross-architecture emulation stays on the build host and is not installed on the uConsole
qrencode|shell-tooling|core|archlinuxarm|qrencode|extra|snapshot|snapshot|phase5-core|None
qt6-imageformats|visual-configuration|core|archlinuxarm|qt6-imageformats|extra|snapshot|snapshot|phase5-core|None
quickshell|desktop-core|core|archlinuxarm|quickshell|extra|snapshot|snapshot|phase5-core|None
ripgrep|shell-tooling|core|archlinuxarm|ripgrep|extra|snapshot|snapshot|phase5-core|None
ruby|development-tool|development|archlinuxarm|ruby|extra|snapshot|snapshot|phase5-optional|None
sddm|system-package|deferred|archlinuxarm|sddm|extra|snapshot|snapshot|phase5-optional|Available but graphical login and autologin remain disabled during bring-up
slurp|desktop-core|core|archlinuxarm|slurp|extra|snapshot|snapshot|phase5-core|None
socat|shell-tooling|core|archlinuxarm|socat|extra|snapshot|snapshot|phase5-core|None
starship|shell-tooling|core|archlinuxarm|starship|extra|snapshot|snapshot|phase5-core|None
sushi|desktop-core|conditional|archlinuxarm|sushi|extra|snapshot|snapshot|phase5-optional|None
system-config-printer|system-package|conditional|archlinuxarm|system-config-printer|extra|snapshot|snapshot|phase5-optional|None
tensaku|omarchy-specific|optional|omit|tensaku|omarchy-pkgs|not-installed|x86_64|phase5-optional|Optional writing utility is unavailable because the pinned package is x86_64-only
tesseract|shell-tooling|conditional|archlinuxarm|tesseract|extra|snapshot|snapshot|phase5-optional|None
tesseract-data-eng|shell-tooling|conditional|archlinuxarm|tesseract-data-eng|extra|snapshot|snapshot|phase5-optional|None
tldr|shell-tooling|core|archlinuxarm|tldr|extra|snapshot|snapshot|phase5-core|None
tmux|shell-tooling|core|archlinuxarm|tmux|extra|snapshot|snapshot|phase5-core|None
tobi-try|omarchy-specific|optional|source-build|tobi-try|omarchy-pkgs|pending-build|any|phase5-optional|Not installed until its consumer and pinned architecture-independent package are tested
tree-sitter-cli|development-tool|development|archlinuxarm|tree-sitter-cli|extra|snapshot|snapshot|phase5-optional|None
ttf-ia-writer|visual-configuration|core|source-build|ttf-ia-writer|omarchy-pkgs|pending-build|any|phase5-core|Core typography remains incomplete until the pinned font package is built
ttf-jetbrains-mono-nerd-basic|visual-configuration|core|replacement|ttf-jetbrains-mono-nerd|extra|snapshot|snapshot|phase5-core|The full Nerd Font family replaces Omarchy's smaller four-font subset
ttfx|omarchy-specific|core|source-build|ttfx|omarchy-pkgs|pending-build|aarch64|phase5-core|Font switching remains disabled until the pinned ARM utility builds and passes without respawn loops
tzupdate|system-package|omit|omit|tzupdate|omarchy-pkgs|not-installed|x86_64|not-applicable|Automatic timezone mutation is omitted because Phase 1 owns the explicit timezone
udiskie|desktop-core|core|archlinuxarm|udiskie|extra|snapshot|snapshot|phase5-core|None
ufw|system-package|conditional|archlinuxarm|ufw|extra|snapshot|snapshot|phase5-optional|None
ufw-docker|system-package|conditional|source-build|ufw-docker|omarchy-pkgs|pending-build|any|phase5-optional|Installed only when both Docker and the reviewed firewall integration are selected
unzip|shell-tooling|core|archlinuxarm|unzip|extra|snapshot|snapshot|phase5-core|None
usage|omarchy-specific|core|archlinuxarm|usage|extra|snapshot|snapshot|phase5-core|None
uwsm|desktop-core|core|archlinuxarm|uwsm|extra|snapshot|snapshot|phase2-hyprland|None
whois|shell-tooling|optional|archlinuxarm|whois|extra|snapshot|snapshot|phase5-optional|None
wireless-regdb|system-package|phase1-owned|archlinuxarm|wireless-regdb|core|snapshot|snapshot|phase1-hardware|None
wireplumber|system-package|core|archlinuxarm|wireplumber|extra|snapshot|snapshot|phase2-hyprland|None
wl-clipboard|desktop-core|core|archlinuxarm|wl-clipboard|extra|snapshot|snapshot|phase5-core|None
woff2-font-awesome|visual-configuration|core|archlinuxarm|woff2-font-awesome|extra|snapshot|snapshot|phase5-core|None
wtype|desktop-core|core|archlinuxarm|wtype|extra|snapshot|snapshot|phase5-core|None
xdg-desktop-portal-gtk|desktop-core|core|archlinuxarm|xdg-desktop-portal-gtk|extra|snapshot|snapshot|phase2-hyprland|None
xdg-desktop-portal-hyprland|desktop-core|core|archlinuxarm|xdg-desktop-portal-hyprland|extra|snapshot|snapshot|phase2-hyprland|None
xdg-terminal-exec|desktop-core|core|local-build|xdg-terminal-exec|local|0.14.3-1|any|phase5-core|Locally built from pinned upstream because no Arch Linux ARM sync package exists
xournalpp|optional-application|optional|archlinuxarm|xournalpp|extra|snapshot|snapshot|phase5-optional|None
yaru-icon-theme|visual-configuration|core|source-build|yaru-icon-theme|omarchy-pkgs|pending-build|any|phase5-core|Core icon theme remains incomplete until the pinned architecture-independent package is built
yay|update-infrastructure|off-target|omit|yay|omarchy-pkgs|not-installed|aarch64|off-target-build|No on-target AUR helper or implicit AUR update path; missing packages are built cleanly off target
yt-dlp|optional-application|optional|archlinuxarm|yt-dlp|extra|snapshot|snapshot|phase5-optional|None
zbar|shell-tooling|conditional|archlinuxarm|zbar|extra|snapshot|snapshot|phase5-optional|None
zoxide|shell-tooling|core|archlinuxarm|zoxide|extra|snapshot|snapshot|phase5-core|None
